Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
6743,Kamisama no Inai Nichiyoubi: Kioku,4546,Special,1,Feb 2014 - Feb 2014,28404,https://myanimelist.net/anime/20423/Kamisama_no_Inai_Nichiyoubi__Kioku,https://myanimelist.net/anime/20423/Kamisama_no_Inai_Nichiyoubi__Kioku/pics,6.87
6744,Onmyou Taisenki,3453,TV,52,Nov 2004 - Sep 2005,6114,https://myanimelist.net/anime/613/Onmyou_Taisenki,https://myanimelist.net/anime/613/Onmyou_Taisenki/pics,7.12
6745,Kachikachi Yama,11540,Movie,1,Oct 1917 - Oct 1917,770,https://myanimelist.net/anime/10757/Kachikachi_Yama,https://myanimelist.net/anime/10757/Kachikachi_Yama/pics,5.26
6746,Top Secret: The Revelation,2699,TV,26,Apr 2008 - Oct 2008,18981,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation/pics,7.27
6747,Hoshi no Yuuenchi,12337,OVA,1,Oct 1989 - Oct 1989,488,https://myanimelist.net/anime/23909/Hoshi_no_Yuuenchi,https://myanimelist.net/anime/23909/Hoshi_no_Yuuenchi/pics,4.76
6748,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2884,TV,12,Jul 2019 - Sep 2019,777562,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II/pics,7.23
6749,Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,492,Special,1,Sep 2005 - Sep 2005,54920,https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saisho_ga_Kanjin_nanode_Tashou_Senobisuru_Kurai_ga_Choudoyoi,https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saisho_ga_Kanjin_nanode_Tashou_Senobisuru_Kurai_ga_Choudoyoi/pics,8.08
6750,Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,11465,OVA,1,Oct 1994 - Oct 1994,3356,https://myanimelist.net/anime/5549/Dengeki_Oshioki_Musume_Gootaman_R__Ai_to_Kanashimi_no_Final_Battle,https://myanimelist.net/anime/5549/Dengeki_Oshioki_Musume_Gootaman_R__Ai_to_Kanashimi_no_Final_Battle/pics,5.28
6751,Ninja Collection,12725,TV,13,Jul 2020 - Oct 2020,16318,https://myanimelist.net/anime/42260/Ninja_Collection,https://myanimelist.net/anime/42260/Ninja_Collection/pics,3.75
6752,Shoukoushi Cedie,2607,TV,43,Jan 1988 - Dec 1988,4360,https://myanimelist.net/anime/2555/Shoukoushi_Cedie,https://myanimelist.net/anime/2555/Shoukoushi_Cedie/pics,7.29
6753,Chibi Maruko-chan (1995),2732,TV,?,Jan 1995 -,5295,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995/pics,7.26
6754,Beyblade Burst,6319,TV,51,Apr 2016 - Mar 2017,29880,https://myanimelist.net/anime/31049/Beyblade_Burst,https://myanimelist.net/anime/31049/Beyblade_Burst/pics,6.51
6755,DNA² OVA,6413,OVA,3,Feb 1995 - Jun 1995,12817,https://myanimelist.net/anime/1187/DNA²_OVA,https://myanimelist.net/anime/1187/DNA²_OVA/pics,6.5
6756,Mach GoGoGo,5561,TV,52,Apr 1967 - Mar 1968,14934,https://myanimelist.net/anime/1445/Mach_GoGoGo,https://myanimelist.net/anime/1445/Mach_GoGoGo/pics,6.66
6757,Yamada-kun to 7-nin no Majo PV,2777,ONA,1,Aug 2013 - Aug 2013,56801,https://myanimelist.net/anime/20359/Yamada-kun_to_7-nin_no_Majo_PV,https://myanimelist.net/anime/20359/Yamada-kun_to_7-nin_no_Majo_PV/pics,7.26
6758,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",4241,TV,13,Oct 2021 - Dec 2021,284439,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita/pics,6.94
6759,Emblem Take 2,6150,OVA,2,Oct 1993 - Nov 1995,1917,https://myanimelist.net/anime/9837/Emblem_Take_2,https://myanimelist.net/anime/9837/Emblem_Take_2/pics,6.54
6760,Burutabu-chan,11222,TV,?,-,276,https://myanimelist.net/anime/32237/Burutabu-chan,https://myanimelist.net/anime/32237/Burutabu-chan/pics,5.37
6761,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,1088,Movie,1,Sep 2016 - Sep 2016,39401,https://myanimelist.net/anime/32869/Kuroko_no_Basket_Movie_1__Winter_Cup_-_Kage_to_Hikari,https://myanimelist.net/anime/32869/Kuroko_no_Basket_Movie_1__Winter_Cup_-_Kage_to_Hikari/pics,7.72
6762,Yankee-kun na Yamada-kun to Megane-chan to Majo,4024,Special,1,Aug 2015 - Aug 2015,25452,https://myanimelist.net/anime/30641/Yankee-kun_na_Yamada-kun_to_Megane-chan_to_Majo,https://myanimelist.net/anime/30641/Yankee-kun_na_Yamada-kun_to_Megane-chan_to_Majo/pics,7.0
6763,Lime-iro Ryuukitan X,10174,TV,13,Jan 2005 - Mar 2005,4698,https://myanimelist.net/anime/2308/Lime-iro_Ryuukitan_X,https://myanimelist.net/anime/2308/Lime-iro_Ryuukitan_X/pics,5.68
6764,Initial D Extra Stage,2497,OVA,2,Mar 2001 - Mar 2001,51541,https://myanimelist.net/anime/822/Initial_D_Extra_Stage,https://myanimelist.net/anime/822/Initial_D_Extra_Stage/pics,7.31
6765,Garo: Guren no Tsuki - Yurugaro,10942,TV,8,Jan 2016 - Mar 2016,1197,https://myanimelist.net/anime/33846/Garo__Guren_no_Tsuki_-_Yurugaro,https://myanimelist.net/anime/33846/Garo__Guren_no_Tsuki_-_Yurugaro/pics,5.47
6766,Buddy Complex: Daremo Shiranai Ashita e,4402,ONA,1,Sep 2014 - Sep 2014,3526,https://myanimelist.net/anime/31105/Buddy_Complex__Daremo_Shiranai_Ashita_e,https://myanimelist.net/anime/31105/Buddy_Complex__Daremo_Shiranai_Ashita_e/pics,6.9
6767,Dounika Naru Hibi,11216,Movie,1,Oct 2020 - Oct 2020,20547,https://myanimelist.net/anime/40747/Dounika_Naru_Hibi,https://myanimelist.net/anime/40747/Dounika_Naru_Hibi/pics,5.38
6768,Kidou Senshi Gundam ZZ,5461,TV,47,Mar 1986 - Jan 1987,40914,https://myanimelist.net/anime/86/Kidou_Senshi_Gundam_ZZ,https://myanimelist.net/anime/86/Kidou_Senshi_Gundam_ZZ/pics,6.68
6769,Kara no Kyoukai Movie 8: Shuushou,2977,Special,1,Feb 2011 - Feb 2011,116171,https://myanimelist.net/anime/6954/Kara_no_Kyoukai_Movie_8__Shuushou,https://myanimelist.net/anime/6954/Kara_no_Kyoukai_Movie_8__Shuushou/pics,7.21
6770,Backkom Sports,10337,TV,52,2009 - 2009,795,https://myanimelist.net/anime/25967/Backkom_Sports,https://myanimelist.net/anime/25967/Backkom_Sports/pics,5.64
6771,Furidashi,11548,Movie,1,2016 - 2016,273,https://myanimelist.net/anime/40812/Furidashi,https://myanimelist.net/anime/40812/Furidashi/pics,5.25
6772,Cosmic Baton Girl Comet-san☆,2286,TV,43,Apr 2001 - Jan 2002,4409,https://myanimelist.net/anime/2036/Cosmic_Baton_Girl_Comet-san☆,https://myanimelist.net/anime/2036/Cosmic_Baton_Girl_Comet-san☆/pics,7.35
6773,Oh! Family,7437,TV,26,Oct 1986 - Mar 1987,1395,https://myanimelist.net/anime/7575/Oh_Family,https://myanimelist.net/anime/7575/Oh_Family/pics,6.3
6774,Sasami: Mahou Shoujo Club,5930,TV,13,Apr 2006 - Jul 2006,8034,https://myanimelist.net/anime/1881/Sasami__Mahou_Shoujo_Club,https://myanimelist.net/anime/1881/Sasami__Mahou_Shoujo_Club/pics,6.59
6775,Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,4302,OVA,1,Jun 2013 - Jun 2013,17292,https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae,https://myanimelist.net/anime/15807/Ro-Kyu-Bu__Tomoka_no_Ichigo_Sundae/pics,6.93
6776,Hashire Melos,11348,Movie,1,1979 - 1979,517,https://myanimelist.net/anime/35497/Hashire_Melos,https://myanimelist.net/anime/35497/Hashire_Melos/pics,5.33
